Predicate,avgObjBind,avgSubjBind
"!<http://dbpedia.org/property/longm>",1.5934,102.1429
"!<http://dbpedia.org/property/latd>",1.5186,102.1429
"!<http://dbpedia.org/property/longd>",1.9444,102.1429
"!<http://dbpedia.org/property/longew>",1.4876,102.1429
"<http://purl.org/dc/terms/subjects>",0.0,0.0
"<http://dbpedia.org/property/title>",5.4912,4.1026
"<http://dbpedia.org/property/residence>",1.2428,2.1007897202516395
"<http://dbpedia.org/property/caption>",1.157,3.3518
"<http://dbpedia.org/ontology/netIncome>",1.0,1.132267441860465
"<http://dbpedia.org/ontology/revenue>",1.0377398720682303,1.3146947595894112
"<http://dbpedia.org/ontology/notableCommander>",2.0137108792846496,1.3861304883052934
"<http://dbpedia.org/ontology/editing>",1.1074,3.6134200139308104
"<http://dbpedia.org/property/wordnet_type>",1.031,3530.6209677419356
"<http://dbpedia.org/property/location>",3.2194,5.195
"<http://dbpedia.org/ontology/artist>",1.0538,5.0637
"<http://dbpedia.org/ontology/instrument>",2.3618,17.479816212668197
"<http://dbpedia.org/ontology/family>",1.3575,38.8709
"<http://www.wikidata.org/entity/P31c>",0.0,0.0
"<http://www.wikidata.org/entity/P136c>",0.0,0.0
"(<http://www.wikidata.org/entity/P31c>|<http://www.wikidata.org/entity/P279c>)*",-1.0,-1.0
"<http://dbpedia.org/property/imageCaption>",1.0505,1.2953
"<http://dbpedia.org/ontology/musicComposer>",1.2174,4.7055
"<http://dbpedia.org/ontology/developer>",1.2308,3.0227487157983015
"<http://dbpedia.org/ontology/order>",1.3014,141.31436530043771
"<http://dbpedia.org/ontology/isPartOf>",2.6651,22.2092
"<http://dbpedia.org/ontology/currency>",1.4428341384863124,2.6122448979591835
"<http://dbpedia.org/property/mime>",1.135036496350365,1.1227436823104693
"<http://dbpedia.org/ontology/manufacturer>",1.191,7.054138877991369
"<http://dbpedia.org/ontology/publisher>",1.1411,6.2572
"<http://dbpedia.org/ontology/foundationPlace>",1.5577383804504072,3.6548622821810004
"<http://dbpedia.org/property/established>",1.0758,7.779749158764148
"<http://dbpedia.org/property/locationCountry>",1.002121009153829,26.797014925373134
"<http://dbpedia.org/ontology/campus>",1.2819251974370436,3.5014245014245016
"<http://dbpedia.org/property/instrument>",1.1063,4.195405915670233
"<http://dbpedia.org/ontology/cinematography>",1.1039,5.202017911801383
"<http://dbpedia.org/ontology/parentCompany>",1.1186,1.9339667458432304
"(<http://www.w3.org/2000/01/rdf-schema#subClassOf>)*",-1.0,-1.0
"<http://dbpedia.org/property/language>",1.0587,38.24784250269687
"<http://dbpedia.org/ontology/areaTotal>",1.1868,5.0357
"<http://dbpedia.org/ontology/tenant>",1.8322103533278553,1.1941945158526135
"<http://dbpedia.org/property/founder>",1.1569,1.0354
"<http://dbpedia.org/property/author>",1.2108,1.3812
"<http://dbpedia.org/ontology/wikiPageWikiLink>",0.0,0.0
"<http://dbpedia.org/ontology/country>/<http://www.w3.org/2000/01/rdf-schema#label>",12.425,514.7634
"<http://dbpedia.org/property/placeOfDeath>",1.2,1.1538461538461537
"<http://dbpedia.org/property/locationCity>",1.054204862495018,1.7220052083333333
"<http://dbpedia.org/property/distributor>",1.1123,1.7341
"<http://www.w3.org/2004/02/skos/core#related>",2.551,1.6073
"<http://dbpedia.org/property/deathPlace>",1.3898,2.8149
"<http://dbpedia.org/property/governor>",1.0611413043478262,1.126984126984127
"<http://dbpedia.org/ontology/designer>",1.2028376844494892,2.236597720557197
"<http://dbpedia.org/property/keyPeople>",1.8179,1.061
"<http://dbpedia.org/ontology/builder>",1.7322,7.874211356466877
"<http://dbpedia.org/property/manufacturer>",1.1213,2.5547313552526063
"<http://dbpedia.org/property/publisher>",1.2054,2.1166048126421644
"<http://dbpedia.org/ontology/deathYear>",1.001,44.83503299340132
"<http://dbpedia.org/property/spouse>",1.5583,1.1778
"<http://dbpedia.org/property/_2000pop>",0.0,0.0
"<http://dbpedia.org/property/medianhouseholdincome>",1.0,1.0
"<http://dbpedia.org/property/id>",1.8021,1.3801
"<http://dbpedia.org/ontology/mainContractor>",0.0,0.0
"<http://dbpedia.org/ontology/originalDeveloper>",0.0,0.0
"<http://dbpedia.org/property/years>",1.7784,28.9921
"<http://dbpedia.org/property/parentOrganization>",1.0178571428571428,1.0754716981132075
"<http://dbpedia.org/property/developer>",1.2699,1.2588
"<http://xmlns.com/foaf/0.1/img>",0.0,0.0
"<http://dbpedia.org/ontology/associatedBand>",4.0064,2.6603
"<http://dbpedia.org/ontology/alias>",1.1674,1.1215
"<http://dbpedia.org/ontology/state>",1.0335,23.71980413492927
"<http://xmlns.com/foaf/0.1/thumbnail>",1.0,1.0
"<http://dbpedia.org/ontology/kingdom>",1.0026,5109.327586206897
"<http://dbpedia.org/abstract>",0.0,0.0
"<http://dbpedia.org/thumbnail>",0.0,0.0
"<http://dbpedia.org/ontology/capital>",1.2947078003511412,1.5510817307692308
"<http://dbpedia.org/ontology/recordLabel>",1.4197,25.187
"<http://dbpedia.org/property/region>",1.3927,10.789756832364967
"<http://dbpedia.org/property/commonName>",1.0260869565217392,1.0128755364806867
"<http://dbpedia.org/ontology/height>",1.0048,58.271259729028536
"<http://dbpedia.org/property/capital>",1.0101954120645709,1.0933333333333333
"<http://dbpedia.org/property/designer>",1.2863,1.4674
"<http://dbpedia.org/property/builder>",1.0380434782608696,1.2036999390119942
"<http://dbpedia.org/property/imageSize>",1.003,177.67202141900938
"<http://dbpedia.org/property/alternativeNames>",1.0784313725490196,1.0060975609756098
"<http://dbpedia.org/ontology/foundationdate>",0.0,0.0
"<http://dbpedia.org/property/parentCompany>",1.0380952380952382,1.920704845814978
"<http://dbpedia.org/ontology/director>/<http://dbpedia.org/property/name>",1.0842,6.878779624080632
"<http://dbpedia.org/ontology/producer>/<http://dbpedia.org/property/name>",1.1767,6.369019422074846
"<http://dbpedia.org/property/writer>/<http://www.w3.org/2000/01/rdf-schema#label>",35.2747,6.262
"<http://dbpedia.org/property/after>",1.7772,1.4323
"<http://dbpedia.org/property/mainContractor>",1.096105527638191,1.3579766536964981
"<http://dbpedia.org/property/conventionalLongName>",1.0,1.25
"<http://dbpedia.org/property/city>",2.4809,1.8934
"<http://dbpedia.org/property/originalDeveloper>",1.0,1.0
"<http://dbpedia.org/ontology/activeYearsStartDate>",1.1602,3.1057
"<http://dbpedia.org/property/before>",1.7671,1.4362
"<http://dbpedia.org/property/population>",1.3393,1.3672
"<http://dbpedia.org/property/date>",7.4287,11.078
"<http://dbpedia.org/ontology/knownFor>",1.7992,1.4135
"<http://dbpedia.org/ontology/bandMember>",2.6486,1.2753
"<http://dbpedia.org/property/children>",1.2548,1.4493
"<http://dbpedia.org/property/fullname>",1.2766,1.0868
"((((<http://www.w3.org/2004/02/skos/core#broader>)?/(<http://www.w3.org/2004/02/skos/core#broader>)?)/(<http://www.w3.org/2004/02/skos/core#broader>)?)/(<http://www.w3.org/2004/02/skos/core#broader>)?)/(<http://www.w3.org/2004/02/skos/core#broader>)?",-1.0,-1.0
"<http://dbpedia.org/property/birthName>",1.0105,1.0095
"<http://dbpedia.org/ontology/inseeCode>",1.0,1.012
"<http://dbpedia.org/property/predecessor>",1.5349,1.3071
"<http://dbpedia.org/property/regnum>",1.0066666666666666,10.066666666666666
"<http://dbpedia.org/ontology/activeYearsEndDate>",1.15,2.6919
"<http://dbpedia.org/ontology/budget>",1.0503,3.711201629327902
"<http://dbpedia.org/property/abstract>",1.0,1.0
"<http://dbpedia.org/property/label>",2.0411,1.7356
"<http://dbpedia.org/property/area>",1.1128,2.9663
"<http://dbpedia.org/ontology/wikiPageInLinkCount>",0.0,0.0
"<http://dbpedia.org/property/producer>",1.3499,1.7223
"<http://dbpedia.org/ontology/position>",1.1121,82.16233766233766
"<http://dbpedia.org/property/founded>",1.0986,8.466789667896679
"<http://www.w3.org/2004/02/skos/core#broader>/<http://www.w3.org/2004/02/skos/core#broader>",7.831,38.2406
"<http://dbpedia.org/property/homepage>",1.0257943925233646,1.032549388523048
"<http://rdf.basekb.com/public/subjectiveEye3D>",0.0,0.0
"<http://dbpedia.org/ontology/timeZone>",1.4741,964.774936061381
"<http://dbpedia.org/ontology/wikiPageOutLinkCount>",0.0,0.0
"<http://dbpedia.org/property/countryofbirth>",1.0,2.4545454545454546
"<http://dbpedia.org/property/parents>",1.5066,1.0389
"<http://dbpedia.org/property/almaMater>",1.3142,2.0605413105413106
"<http://dbpedia.org/property/officialName>",1.0101484683330202,1.162916486369537
"<http://dbpedia.org/ontology/activeYearsEndYear>",1.0052,76.29663147310207
"<http://dbpedia.org/ontology/birthName>",1.0111,1.017
"<http://dbpedia.org/property/ordo>",1.0045454545454546,1.4498594189315839
"<http://dbpedia.org/property/category>",1.2363,6.424444444444444
"<http://dbpedia.org/property/subdivisionType>",3.6419,363.6419922949917
"<http://dbpedia.org/property/termStart>",1.5113,8.057741816844429
"<http://dbpedia.org/property/pastLeague>",2.7823834196891193,3.6040268456375837
"<http://dbpedia.org/property/position>",1.293,10.457227722772277
"<http://dbpedia.org/property/imagesize>",1.0142,175.86580882352942
"<http://dbpedia.org/property/populationTotal>",1.0020389669234255,1.3112955825674473
"<http://dbpedia.org/property/religion>",1.1359,10.4375
"<http://dbpedia.org/property/yearsActive>",1.024665551839465,12.968253968253968
"<http://dbpedia.org/ontology/Work/runtime>",1.0671,30.758380984415293
"<http://dbpedia.org/ontology/elevation>",1.2328,20.6425
"<http://dbpedia.org/property/origin>",1.1149,2.9970796829370046
"<http://dbpedia.org/property/state>",1.2019,46.48
"<http://dbpedia.org/property/termEnd>",1.4565,6.99374156338201
"<http://dbpedia.org/ontology/president>",1.3817,3.6236729161960697
"<http://dbpedia.org/property/leaderTitle>",1.0787992495309568,6.149732620320855
"<http://dbpedia.org/property/countryCode>",1.008130081300813,4.325581395348837
"<http://dbpedia.org/property/writer>",6.3511,1.9062
"<http://dbpedia.org/ontology/religion>",1.1171,26.124613800205974
"<http://dbpedia.org/property/party>",5.2206,16.099503538607795
"<http://dbpedia.org/property/leaderName>",1.4697,1.0581
"<http://dbpedia.org/ontology/keyPersonPosition>",0.0,0.0
"<http://dbpedia.org/property/source>",1.2461,1.2326
"<http://dbpedia.org/ontology/office>",1.536,4.6242
"<http://dbpedia.org/ontology/established>",1.1347291761492946,1.3169572107765453
"(<http://www.w3.org/2000/01/rdf-schema#subClassOf>)+",-1.0,-1.0
"<http://dbpedia.org/ontology/gross>",1.0279,1.6321
"<http://dbpedia.org/property/currentMembers>",3.5722,1.0652
"<http://dbpedia.org/ontology/region>",1.2427,5.7658
"<http://dbpedia.org/property/symbol>",1.0573,3.2528828104049343
"<http://dbpedia.org/property/length>",10.5173,119.15231572080887
"<http://dbpedia.org/ontology/capital>/<http://www.w3.org/2000/01/rdf-schema#label>",11.726281075596145,1.8647
"<http://dbpedia.org/property/currencyCode>",1.0,1.85
"<http://dbpedia.org/property/imageMap>",1.1031,1.2382
"<http://dbpedia.org/property/logo>",1.009,1.6006
"<http://dbpedia.org/ontology/termPeriod>",2.3317,1.0
